Time, Stress, Light, Sleep, Happiness
2024-03-11,8,6,4,6.38
2024-03-11,10,3,5,4.75
2024-03-11,8,1,5,3.57
2024-03-11,4,9,2,5.65
2024-03-11,2,7,9,7.08
2024-03-11,9,7,7,8.17
2024-03-11,5,8,6,7.7
2024-03-11,7,4,10,7.71
2024-03-11,10,2,3,4.42
2024-03-11,4,2,7,4.1
2024-03-11,9,1,9,6.09
2024-03-11,9,6,7,7.44
2024-03-11,4,2,10,5.93
2024-03-11,10,1,7,4.86
2024-03-11,6,5,9,7.79
2024-03-11,7,2,8,5.39
2024-03-11,10,6,5,7.09
2024-03-11,3,3,6,3.65
2024-03-11,6,5,3,3.86
2024-03-11,5,3,10,4.61
2024-03-11,10,9,3,8.82
2024-03-11,10,8,2,6.55
2024-03-11,6,1,1,2.2
2024-03-11,9,1,5,4.25
2024-03-11,3,5,1,3.19
2024-03-11,9,9,8,7.17
2024-03-11,2,7,10,5.33
2024-03-11,10,1,9,6.33
2024-03-11,7,5,6,4.75
2024-03-11,4,2,8,4.78
2024-03-11,6,3,5,4.3
2024-03-17,8,10,10,7.67
2024-03-17,5,6,2,3.5
2024-03-17,5,3,5,3.6
2024-03-17,4,7,3,4.29
2024-03-17,3,5,3,3.97
2024-03-17,3,5,2,3.34
2024-03-17,4,6,2,3.8
2024-03-17,4,3,6,3.71
2024-03-17,7,9,8,8.63
2024-03-17,4,5,3,3.52
2024-03-17,4,6,7,5.2
2024-03-17,4,5,3,4.55
2024-03-18,4,6,4,4.36
2024-03-18,5,6,8,6.01
2024-03-18,4,5,3,3.5
2024-03-18,3,4,5,4.5
2024-03-18,4,5,9,5.71
2024-03-18,5,7,8,8.11
2024-03-18,8,5,6,5.58
2024-03-18,1,10,10,8.54
2024-03-18,1,1,10,3.82
2024-03-18,1,10,10,6.0
2024-03-18,2,8,8,5.06
2024-03-18,3,8,8,7.28
2024-03-18,4,8,8,6.85
2024-03-18,5,7,8,7.85
2024-03-18,4,7,8,7.78
